name,priority,appearance,backstory_look,bio
"Руди ""Рысь"" Робертс","высокий","мужчина, белый, 35 лет,, мезоморф средне развит физически.","Снайпер. Мрачный, депрессивный, черно шутит. дал бы куртку-бомбер, если честно.","Руди Робертс является одним из лучших снайперов A.I.M. Желая преумножить свои и без того многочисленные навыки, 'Рысь' закончил курсы по основам электроники, механики, операциям в ночное время суток и оказанию первой медицинской помощи в полевых условиях. Робертс просит, чтобы его не отправляли на задание вместе с 'Тоской' Гарно."
"Луиза ""Тоска"" Гарно","высокий","Женщина, белая, 30 лет, мезоморф, жилистая, выносливая, но не андрогин. Физически тренирована, но запустила себя","Ухоженная женщина, но не для мужиков, а для себя. Ярая мужененавистница, невротик, психопатка. в поле одета максимально удобно. разгрузка","За прошлый год в жизни Луизы много изменилось. Она крупно поссорилась с 'Рысью' Робертсом. С тех пор они терпеть друг друга не могут. Ее скандальная книга 'Под прикрытием, под Рысью' была отвергнута всеми издательствами. Все это привело ее в расстроенные чувства, поэтому она решила сублимировать свой гнев, работая с оружием. Недавно Луиза получила статус специалиста по тяжелым и автоматическим видам вооружения."
"Тревор Колби","высокий","Мужчина, белый, 28 лет, мезоморф, в хорошей физической форме.","Хитрый взгляд с прищуром. По карманам рассовано куча всяких штук,которыми можно убить - карандаш, блокнот, мультиметр. Этакий творческий беспорядок, известный только хозяину","Умник и изобретатель из Австралии - Тревор Колби может превратить безобидный тостер в смертельное оружие. Хорошо знаком со взрывчаткой и взломом замков. Этот шутник обожает устраивать ловушки и смотреть, как они срабатывают. Несмотря на небогатый опыт, Колби быстро обучается."
"Доктор Донна ""Паук"" Хьюстон","высокий","Женщина, белая, 35 лет, мезоморф, в плохой физической форме","Матерая тетка, заведует отделение травматологии в американской глубинке. Вообще красивая, но слегка заплыла. одета удобно, тепло. медицину несет в нескольких небольших аптечках  - две на поясе, наверное, и в руке рюкзак с остальной медициной","Получив знания военного полевого врача, доктор Хьюстон не знает себе равных в оказании медицинской помощи в любых условиях. В самую темную ночь или под сильнейшим тропическим ливнем раненые могут рассчитывать на ее быструю, бесшумную и эффективную помощь. 'Паук' получила свое прозвище благодаря старшему брату, который любил ее пугать."
"Билл ""Бритва"" Ламонт","высокий","Мужчина, белый, 28 лет, мезоморф, в отличной физической форме, с развитой мускулатурой","Психопат, маньяк, убийца, носит кучу ножиков.","Билла могли бы прозвать 'Мясником', не будь он так хирургически точен в обращении с ножом. Предпочитает работать с холодным, а не с огнестрельным оружием (много шума и слишком просто!). Его гордость - способность вырезать на жертве весь алфавит (или хотя бы все гласные) раньше, чем она умрет от кровопотери.  К имени Билла иногда добавляют 'сертифицированный'. И действительно, его без преувеличения можно назвать сертифицированным специалистом... в области убийств."
"Айра Смит","Высокий","Женщина, белая, 25 лет, эктоморф, слабо физически развита.","Худощавая девчонка в замызганной хаки футболке, изображающей форму. на рукаве повязка с карсным крестом, через плечо сумка холщовая с медициной","Сотрудник гуманитарной миссии, проникшаяся политикой Дейдраны в отношении народа Арулько, и завербовавшаяся в повстанцы."
"Димитрий Газзо","Высокий","Мужчина, греческий тип, 35, мезоморф, в хорошей фиизческой форме, с развитой мускулаторой","Тоже в замызганной футболке, изображающей форму. на поясе нож, или даже мачете.","Житель Арулько, повстанец, охранник. Охраняет любою дверь ты хочешь."
"Кевин ""Бешеный"" Камерон","высокий","Мужчина, белый, 22 года, мезоморф, отличная физическая форма, с развитой мускулатурой","В рваной растянутой футболке, джинсах не по размеру, здоровенных стоптанных ботах. в руке может быть арматурина или разводной ключ","Житель Арулько, отброс, псих. Работает на игрока ""за идею"". Можно хоть ржавым бампером всех мочить."
"Игорь ""Игги"" Палкин","высокий","мужчина, белый 38-40 лет, мезоморф, отличная физическая форма с развитой мускулаторой","Милитари - разгрузка, подсумки, варбелт, кобура на бедре. обязательно аптечка, готовый жгут на бедре и нашивка с группой крови. пусть будет IV +","Наемник, Встречается на строне Дейдраны, перевербован игроком. Отказался от работы на Дейдрану по идейным соображениям. Диабетик"
"Майк","Высокий","Мужчина, белый, 40-45 лет, мезоморф, отличная физическая форма с развитой мускулаторой","Черно-серая невзрачная форма, разгрузка, подсумки, кобура на бедре","Майк внезапно покинул переговоры об увеличении гонораров, узнав о том, что многие работодатели жаловались на его завышенные требования. Мы не знаем, где он сейчас, на самом деле, мы почти ничего не знаем о нем. Последнее письмо, полученное от него, было с маркой какой-то маленькой страны, название которой мы забыли; в письме были угрозы, о которых мы  не хотим вспоминать."
"Майор Сергей ""Гром"" Громов","Высокий","Мужчина, белый, 45 лет, мезоморф, хорошая физическая форма.","""полувоенная"" рубашка, суконные брюки, на поясе кобура с макаровым","Майор Советской армии, афганец, сослуживец Ивана Долвича. Умеет пилотировать вертолет и стрелять из всякого такого тяжелого и реактивного."
"Кирк ""Статик"" Стивенсон""","низкий","Мужчина, белый, 38-40 лет, мезоморф, плохая физическая форма, не тренирован.","Хиппарь, наркоман. Огромная бесформменая куртка со всякими висюльками, в которой куча всего","Кажется, что годы не властны над 'Статиком'. Его образ жизни и спокойная натура позволяют ему лучше всего проявлять себя в ночных операциях. Кирк зарекомендовал себя как хороший механик и специалист по электронике. Его внешность обманчива - хоть Кирк и смахивает на хиппи, мысли о мире и любви редко его посещают. Как и 'Паук', его хорошая знакомая, 'Статик' до смерти боится насекомых."
"Клиффорд ""Скала"" Хайбол","низкий","Мужчина, белый, 38-40 лет, мезофорф, плозая физическая форма, алкоголик.","Алкоголик. Референсить наверное с Доктора Хауса.","Здоровье Клиффорда значительно улучшилось после того, как он бросил пить и перешел на вегетарианскую диету. Это отличная новость для будущих нанимателей, так как сложно найти человека, который одновременно был бы и доктором и снайпером. Док. Клиффорд также превратил работу со взрывчаткой из хобби в серьезный навык."
"Джон ""Бык"" Питерс","низкий","Мужчина, белый, 35-38 лет, крупный, эндоморф, выраженная мускулатура, но малоподвижный.","Крупный, крепкий, здоровый, лысый, чуть заплывший","Крепок и немногословен. Джон Питерc предпочитает, чтобы его действия говорили сами за себя. Несмотря на то, что 'Бык' служил в Военной Полиции армии США, он не привык соблюдать субординацию и легко раздражается. Вероятно, он провел на гауптвахте столько же времени, сколько и в ее охране. Бык - грубый мужик для грубой работы. На данный момент у 'Быка' самый мощный удар из всех наших наемников."
"Даг ""Кардан"" Милтон","низкий","Мужчина, белый, 35-38 лет, хилый, эктоморф.","Лицо, не обезображенное интеллектом. Как Тревор, только неряшливый, в рванье, в дранье, в масле","Даг Милтон родился и вырос в Кентукки. В четвертом классе его выгнали из школы и он стал работать на автозаправке своего отца. Там он стал отличным механиком. После того, как сестра сменила его на работе, он начал шататься по стране и, в конце концов, решил стать наемником. Хобби: Стрельба по белкам и коллекционирование дорожных знаков."
"Тим ""Хоббит"" Хиллман","низкий","мужчина, белый, 27 лет, эндоморф, физически развит плохо, пухлый","Неряшливый, в грязной одежде, толстый, нечесаный.","Тим отлично разбирается во взрывчатке и быстро всему учится. Следует помнить, однако, что у саперов не может быть ошибок. Хиллман наверняка мог бы остаться в Гарварде и заниматься своим дипломом по электромагнитным полям, если бы не ужасная депрессия, вероятно, вызванная электромагнитным излучением. Из-за своей аллергии Тим предпочитает работать в странах с холодным климатом."
"Тим ""Рикошет"" Саттонн","низкий","Мужчина, белый, эктоморф, 28 лет, средне развит физически, не развита мускулатура","Панк - татухи, ирокезы, кожаные брейсы и чокеры, кожанка, цепи.","Некоторым людям просто не везет с внешностью. Тим Саттон - один из них. Его редко нанимали из-за ужасной стрижки и татуировки на шее. Тем не менее его резюме впечатляет: восточные единоборства, проведение операций в ночное время суток, снайперская и медицинская подготовка."
"Тортон ""Мясо"" Джонс","низкий","Мужчина, белый, 45 лет, эндоморф, крупная мускулатура, но очень сильно заплыл салом","очень тупой. ОЧЕНЬ ТУПОЙ. и огромный.","Кроме необъятных размеров, Тортон известен тем, что был первым охранником, уволенным из тюрьмы штата Алабама за жестокое отношение к заключенным. Подробностей этого дела мы так и не знаем - побоялись спросить."
"Карлос Дасуза","низкий","Мужчина, латинос, 40 лет, мезоморф, средняя физическая форма","кислая рожа. Форменная хаки футболка чистенькая и не мятая. подтяжечки вместо ремня. ремень со старыми брезентовыми подсумками, как у СА в Афгане.","Житель Арулько, повстанец, правая рука Мигеля. Постоянно всем недоволен, настроен пессиместично и не без оснований"
"Девин Коннелл","низкий","Мужчина, белый (ирландец), 45 лет, мезоморф, плохая физическая форма.","Рыжий, длинные волосы не ухожены, клетчатая рубашка, брюки, подтяжки. на плече большой рюкзак","Ирландец, страствующий торговец взрывчаткой. Сам взрывать тоже любит и умеет."
"Брием ""Шенк"" Друз","низкий","","темная майка или толстовка с длинными рукавами, изможденное лицо, синяки под глазами","Богатенький мальчик, наркоша, по доносу родителей попал в тюрьму. Ненавидит родителей и Дейдрану"
"Доктор Винсент ""Винс"" Воймонт(?)","низкий","Мужчина, белый, 30 лет, мезоморф, не тренирован физически.","аккуратист - рубашечка, брючки, пиджачок, все выглажено, из под рубашки пузико видно","Житель Арулько, Врач-хирург в местной больнице. Решил помогать наемникам напрямую."
"Ричард ""Убийца"" Рутвен","низкий","Мужчина, белый, 35-38 лет, мезоморф, средняя физическая форма.","Одет максимально неприметно. Толстовка или куртка с капюшоном, без ярких принтов, обычного сине-серо-коричневого городского цвета.","Международный преступник, убийца, киллер, снайпер. Разыскивается ИНТЕРПОЛОМ, скрывается от охотников за головами в Арулько."
"Полковник Фредерик Биггенс","низкий","Мужчина, белый, 60 лет, мезоморф, плохая физическая форма","рубашка, брюки, подтяжки, берет.","Бывший полковник какой-то армии. Опытный сапер, взрывать умеет и любит. Ворчливый дед."
"Джон Кульба","низкий","Мужчина, белый, 65 лет, мезоморф, плозая физическая форма (пузан)","рубашка, брюки, подтяжки. в руках можно М16 нарисовать. референсить с мема про американцев, отбивающих лутинг.","Американец, ветеран какой-то войны. Был знаком игроку, когда заблудился в Арулько вместе с женой. После смерти жены взял все свои абсолютно гражданские винтовки и поехал в АИМ приносить справедливость"
"Леннарт ""Зануда"" Вильде","низкий","Мужчина, белый, 28 лет, мезоморф, хорошая физическая форма","Милитари - разгрузка, подсумки, варбелт, кобура на бедре.","Леннарт Вильде - настоящий лидер, он заражает своей уверенностью остальных. Шутник, у которого довольно странное чувство юмора. Он из Эстонии, как и Янно Аллик, и у него тоже мать-немка. Тяжелое детство в Сибири закалило его. Его сильные стороны - ночные операции и стрельба из автоматического оружия.С радостью отправится туда, куда и Янно Аллик. Оба стали наемниками после вывода советских войск из Восточной Германии."
"Грациелла ""Грейс"" Джирелли","низкий","Женщина, белая (итальянка) 25 лет, мезоморф, плохая физическая форма","Джинсы, куртка, под которой прячет ножики.","У Грейс итальянские и венгерские корни. Она выросла в Нью-Джерси. Уже в раннем детстве она предпочитала играть не с куклами, а с братьями- хулиганами. Как настоящая итальянка, она обожает спагетти и лапшу всех видов. Еще в детстве она научилась бросать ножи лучше братьев, и этим сводила с ума свою мать."
"Рудольф Штайгер","низкий","Мужчина, белый (немец), 45 лет, мезоморф, хорошая физическая форма","Милитари - разгрузка, подсумки, варбелт, кобура на бедре.","У этого бывшего бойца GSG-9 есть только одна слабость... доктор Лора Колин, с которой он познакомился на курсах в Любеке. Он - настоящий профи. Его сильная сторона - ночные операции. Кроме того, он с трех километров бьет пулей белку в глаз. У него есть способности инструктора. Его манеры оставляют желать лучшего. Хорошо работает вместе с Хеннингом фон Браницем, но Дуг Милтон действует на него, как красная тряпка на быка."
"Люк ""Лаки"" Фабр","низкий","Мужчина, белый, 30 лет, мезоморф, хорошая физическая форма","Милитари - разгрузка, подсумки, варбелт, кобура на бедре.","Люк Фабр родом из Бельгии. Прозвище не подходит ему, так как его постоянно преследуют неудачи. Он рос без отца, у него было трудное детство. Когда он узнал, что кто-то пристает к его маленькой сестре, он пришел в ярость и сломал шею обидчику. Оказалось, что его жертва - важная персона, и Люку пришлось уйти в подполье и стать наемником.Этот качок - ходячее оружие. Он опасен и в рукопашной, но дайте ему автомат, и он непобедим!"
"Доктор Лора Колин","низкий","Женщина, белая, эктоморф, плохая физическая форма","плащ, сумка через плечо с медициной, карго штанцы. на груди висюлька с клыком.","Лора Колин родилась в Румынии. Ее родители-диссиденты бежали в Германию, опасаясь ареста. От них она унаследовала нелюбовь к диктаторам. Училась на медика, и попала в A.I.M. по совету Рудольфа Штайгера. Страстная наемница! Ее сильные стороны - выслеживание противника и стрельба из автоматического оружия. Ненавидит работать со Луизой Гарно."
"Эмиль ""Эскимо"" Кимос","низкий","Мужчина, житель крайнего севера, 40 лет. Хорошая физическая форма, эктоморф","Форменная хаки футболка слегка пошарпана. На плече на ремне какая-нибудь винтовка стволом вверх.","Повстанец, Снайпер, разведчик. Был пойман армией Арулько и слегка попытан."
"Стефан Ротман","средний","мужчина, белый, 35 лет, мезоморф, хорошая физическая форма","милитари - бронежилет, разгрузка, подсумки, кобура на бедре.","Пусть голубые глаза и глуповатое выражение лица Ротмана не вводят вас в заблуждение - этот симпатяга справится с любым заданием. В прошлом он, как специалист по охранным системам, охранял самые большие запасы драгоценных камней в мире от воров, повстанцев и конкурирующих фирм. Говорят, что в Южной Америке опять стало неспокойно после того, как он оттуда уехал. Стефан зарекомендовал себя как отличный командир отряда, особенно во время ночных операций."
"Доктор Дэниел ""Дэнни"" Квинтен","средний","Мужчина, белый, 38 лет, мезоморф, отличная физическая форма, машина а не человек.","Рубашка поло, поверх еще рубашка, скрывающая тело, открывает вид на сильные предплечья со вздувшимися венами. Референс - Дин Винчестер. в руке - ""спортивная"" сумка с медициной.","Доктор Дэниел Квинтен за свою жизнь был альпинистом, парашютистом и полевым врачом. Во время операции 'Буря в пустыне' он отличился тем, что прыгал с вертолета, чтобы прооперировать бойцов, которые лежали посреди минного поля. Более того, он не покидал раненых до тех пор, пока они не приходили в сознание. Доктор отлично владеет обеими руками и ведет жизнь одинокого волка."
"Бифф Апскотт","Средний","Мужчина, белый (рыжий), мезоморф, плохая физическая форма.","Милитари - бронежилет, разгрузка, подсумки, ларингофон, полная экипировка. Но все надето неумело, не подогнано, ремни не подтянуты, все болтается, торчит. Хотя Биффа то картинка есть.","Невозможно перечислить все боевые операции, в которых Биф принимал участие. Если бы не его опыт, преданность делу и готовность расстаться со сбережениями ""на черный день"", нашего агентства просто не было бы. Однажды полковник Роачберн назвал его ""бесстрашным лидером, не имеющим себе равных"". Биф занимается набором и обучением наемников для M.E.R.C., а также получает долю от доходов агентства."
"Фрэнки ""Нервный"" Гордон","Средний","Мужчина, белый, 32 года, эктоморф, плохая физческая форма","Реднек - джинсы, джинсовая рубашка, в руках какой-ниубдь небольшой автомат типа УЗИ, задранный стволом вврех, палец обязательно на спуске. во второй руке огромный нож.","Убийства - специализация Фрэнки. В этом деле его больше интересует процесс, а не результат. Хотя он и не снайпер, но отлично владеет автоматическим оружием. То же самое можно сказать и о его умении обращаться с холодным оружием. Сейчас Фрэнки работает над улучшением своих навыков общения с людьми."
"Флоренс ""Фло"" Габриель","средний","Женщина, белая, 28 лет, эктоморф, плохая физическая форма","Светлая блузка и брючки. на войну не собиралась","Дочь винодела. Большую часть детства Флоренс провела в провинции Коньяк во Франции. После переезда в Питтсбург, США, стала работать бухгалтером в одной из компаний, торгующих оружием. Там она получила обширные знания по огнестрельному оружию. Сообразительна, но несколько неуверенна в себе, поэтому ей недоплачивают. В свободное от работы время помогает неграмотным учиться читать."
"Джим ""Пума"" Уоллесс","средний","Мужчина, белый, 38 лет, мезоморф, отличная физическая форма с развитой мускулатурой","милитари - броник, разгрузка, автомат, подсумки.","Один из немногих кадетов, которые получили оценку 'отлично' на всех выпускных экзаменах. Следует учесть, правда, что экзаменационная программа была составлена его отцом. Отлично владеет всем спектром военных навыков, особенно хорошо управляется с автоматическим оружием. Джим настоящий профессионал, возможно, лучший наемник в M.E.R.C. Хотя у Джима всегда есть свое мнение, он достаточно дисциплинирован, чтобы оставить его при себе."
"Мигель Кордона","средний","Мужчина, латинос, 45 лет в хорошей фиизческой форме","Форменная хаки футболка, поверх куртка защитного цвета. Берет. можно выдать АКМ","Лидер сопротивления, чрезвычайно харизматичный мужик. Двумя словами может заставить повстанца вылезти из окопа и пойти умирать за Мигеля. Поэтому повстанцев у него негусто."
"Грег ""Динамо"" Дункан","средний","Мужчина, черный, 45 лет. Мезоморф, в плохой физической форме, сильно избит. Левый глаз можно сделать блеклым - выбит","Референсить с Брюса Уиллиса из Крепкого орешка.","Житель Арулько. Сидел в тюрьме по политической статье, жену и сына расстреляли солдаты армии Арулько. ненавидит Королеву."
"Лейтенант Конрад Джиллет","средний","Мужчина, белый, 38 лет, Мезоморф, неплохо развит физически, но слегка заплыл в кабинете","Военная форма, поверх армейский бронежилет.","лейтенант армии Арулько. Встречен игроком как раз в день окончания его контракта, что позволяет перевербовать его без стрельбы. Высокомерен и заносчив, но сам чрезывайно умелый и опытный, так что это больше требовательность, чем высокомерие."
"Гастон Кавалье","средний","Мужчина, белый, 35 лет, мезоморф, отличная физическая форма","милитари - бронежилет, разгрузка, подсумки, кобура на бедре.","Как бывший спецназовец Корпуса морской пехоты Франции (FMC), Гастон сыграл выдающуюся роль во многих недавних операциях НАТО и ООН по всему этому враждебному миру. Уверенный в себе, зарекомендовавший себя в полевых условиях профессиональный снайпер, Кавальер пополнил наш список - это всего лишь еще один шаг в постоянных усилиях M.E.R.C. по удовлетворению ваших потребностей в наемничестве. Гастон лучше всего работает ранним утром. Он также весьма искусен в стрельбе  с возвышенной точки обзора."
"Лейтенант Хорг ""Сигара""","средний","Мужчина, белый, 40 лет, эндоморф, в отличной физической форме, подсушен.","милитари - бронежилет, разгрузка, подсумки, кобура на бедре.","Мощный, как танк, лейтенант Хорг специализируется на их уничтожении. Чрезвычайно искусный в обращении с тяжелым вооружением, Стоги последние два года работал независимым наемником в Конго. Он, вероятно, один из самых крутых специалистов в своем бизнесе, и M.E.R.C. гордится тем, что он выбрал нас в качестве своего первого агентства, пусть и на временной испытательной основе."
"Мануэль.","средний","Мужчина, латинос, 40 лет, эктоморф в хорошей физической форме","Грязная замызганная одежда защитного цвета.","Житель Арулько. Служил в Армии Арулько под прикрытием. Повстанец. Под угрозой раскрытия бежал в другую страну, где бродил по лесу, пока не был встречен игроком."
